Serial_Number;Device_Name;Type;Groupe;State
SN2149630092;-1125;Mini Pc GIGABYTE;Groupe Misfat Filtration;En Service
8QB1ZL3;DELL OPTIPLEX 3090;MINI pc DELL;Groupe Misfat Filtration;En Service
2XTNT4J;172-21-251-34;Mini Tower;Groupe Misfat Filtration;En Service
JLNNT4J;173-172-8-1;Mini Tower;Groupe Misfat Filtration;En Service
1JPWX4J;173-172-8-1-OLD;Mini Tower;Groupe Misfat Filtration;En Service
8CC1160YRQ;3D-PRINTER;Desktop;Groupe Misfat Filtration;En Service
4G80842;4G80842;Rack Mount Chassis;Groupe Misfat Filtration;En Service
88K0GV2;ABENDHIEF;Desktop;Groupe Misfat Filtration;En Service
4QRGZB2;ABOUSSHIH3;Desktop;Groupe Misfat Filtration;En Service
G3PFCG00074K;ADHAOUDI;Desktop;Groupe Misfat Filtration;En Service
JB820D3;AFARHAT;Desktop;Groupe Misfat Filtration;En Service
GJ7ZL44;AFERJANI;Desktop;Groupe Misfat Filtration;En Service
3Q717T2;AGuizani;Desktop;Groupe Misfat Filtration;En Service
7HPWX4J;AHANACHI2;Mini Tower;Groupe Misfat Filtration;Hors Service
CNPPB2;AIO_20170655 / 1;All In One;Groupe Misfat Filtration;En Service
K9PTCJ00M047396;AIO-ABENAYED-AS;All In One;Groupe Misfat Filtration;En Service
CZC622BL9D;AIO-HAOUINI;All In One;Groupe Misfat Filtration;En Service
DHMJSX1;AIO-HGUESMI;All In One;Groupe Misfat Filtration;En Service
CNPTBB2;AIO-MCHAFFAI;All In One;Groupe Misfat Filtration;En Service
J6PTCJ00T299258;AIO-MOGUERMAZI;All In One;Groupe Misfat Filtration;En Service
CZC3153PMG;AIO-RBENAYED;Desktop;Groupe Misfat Filtration;En Service
51JLS62;AKAABI1;Desktop;Groupe Misfat Filtration;En Service
6BLST23;AKAABI1;Desktop;Groupe Misfat Filtration;En Service
8VGX35J;AKHALDI;Mini Tower;Groupe Misfat Filtration;Utilisation Provisoire > Disponible Chez Sce info
18R8B44;AKHALDI1;Desktop;Groupe Misfat Filtration;En Service
2VXGBS2;AKHOUJA;Desktop;Groupe Misfat Filtration;En Service
2BG9424;AKHZAMI;Desktop;Groupe Misfat Filtration;En Service
JQ1055J;ALAOUINI;Tower;Groupe Misfat Filtration;Hors Service
3BR8B44;ALaouini;Desktop;Groupe Misfat Filtration;En Service
J5PKTX1;ALL_8140;All In One;Groupe Misfat Filtration;Hors Service
3D7245J;ASLEIMI;Mini Tower;Groupe Misfat Filtration;En Service
DNCWX4J;ASmati;Mini Tower;Groupe Misfat Filtration;Fonctionnel-nonAffecte
D7K0GV2;ATEF;Desktop;Groupe Misfat Filtration;En Service
2017MW0128;AUTEC-1;All In One;Groupe Misfat Filtration;En Service
2329MW0023;Autec3;All In One;Groupe Misfat Filtration;En Service
HNRSFR3;BAIE_DELL_ME4024;Baie de Stockage;Groupe Misfat Filtration;En Service
GXFB25J;BancEclatements;Lunch Box;Groupe Misfat Filtration;Hors Service
G9N9R4J;BBAHRI-NEW;Mini Tower;Groupe Misfat Filtration;Hors Service
BSN16K2;BBejaoui;Desktop;Groupe Misfat Filtration;En Service
3YSWPV3;BBENABDKADER;Desktop;Groupe Misfat Filtration;En Service
2W4HPQ3;BBERHOUMA;Desktop;Groupe Misfat Filtration;En Service
BRV46K2;BDRIDI2;Desktop;Groupe Misfat Filtration;En Service
HXFB25J;BE-Eclatement;Lunch Box;Groupe Misfat Filtration;En Service
C5HVQK3;BoBejaoui;Desktop;Groupe Misfat Filtration;En Service
/C5HVQK3/CNWS2001B400QF/;BoBejaoui;Desktop;Groupe Misfat Filtration;En Service
9WM4NX2;CHAKERMI;Desktop;Groupe Misfat Filtration;En Service
2W617T2;CHDoufani;Desktop;Groupe Misfat Filtration;En Service
HRPMVS1;Chedly;Mini Tower;Groupe Misfat Filtration;En Service
CMTY202;CMTY202;Rack Mount Chassis;Groupe Misfat Filtration;En Service
FWV94J3;DELL LATITUDE 5520;PC Portable;Groupe Misfat Filtration;En Service
5PB1ZL3;DELL OPTIPLEX 3090;MINI pc DELL;Groupe Misfat Filtration;En Service
71HVQK3;DELL OPTIPLEX 5090;PC Bureau;Groupe Misfat Filtration;Hors Service
H66S014;DELL OPTIPLEX 7010;MINI CP;Groupe Misfat Filtration;En Service
8CC9493S44;DEPOT-ZARZIS;Mini PC;Groupe Misfat Filtration;En Service
2234MW0082;DESKTOP-EDLK296;All In One;Groupe Misfat Filtration;En Service
FCCXP03;DESKTOP-ER593AB;Notebook;Groupe Misfat Filtration;En Service
334VP03;DESKTOP-RAQB7L6;Notebook;Groupe Misfat Filtration;Utilisation Provisoire > Disponible Chez Sce info
DLYTP03;DESKTOP-RAQB7L6;Notebook;Groupe Misfat Filtration;En Service
